Crop,standard_yield,min_yield,max_yield,unit,season,notes
Lentil,7,3.5,12,Quintals/Acre,Rabi,Masoor; MP/UP/Bihar dominant; waterlogging very damaging
Lettuce,60,30,100,Quintals/Acre,Rabi,Primarily polyhouse/protected cultivation; open field in hills; quick cycle (45-55 days)
Linseed,6,3,10,Quintals/Acre,Rabi,Seed yield; MP/Chhattisgarh/UP; dual-use (oil + fibre)
Long melon,60,30,100,Quintals/Acre,Zaid,Fresh fruit weight; north India summer crop; short cycle
Mango,50,20,100,Kg/Tree/Year,Perennial,Alphonso/Dashehari/Langra dominant by region; alternate bearing is key challenge
Mushroom,80,40,140,Quintals/Acre,Year-round,Button mushroom on per-bed basis; yield per cycle (~45 days); substrate quality critical
Muskmelon,70,35,120,Quintals/Acre,Zaid,Riverbed/sandy soil cultivation; multiple picks; Hara Madhu standard variety
Mustard,10,5,17,Quintals/Acre,Rabi,Seed yield; Rajasthan/UP/MP; PM-resistant varieties now available
Niger,4,2,7,Quintals/Acre,Kharif,Oilseed; tribal belt MP/Chhattisgarh/Odisha; rainfed; low input but low yield
Okra,40,18,70,Quintals/Acre,Kharif,Multiple pickings every 2-3 days; hybrid Parbhani Kranti standard; heat-tolerant
Onion,100,50,160,Quintals/Acre,Rabi,Bulb yield; Maharashtra dominant; Kharif and late Kharif crops also grown
Orange,60,30,110,Kg/Tree/Year,Perennial,Nagpur mandarin standard; alternate bearing common; canker management critical
Papaya,200,100,350,Quintals/Acre,Perennial,Red Lady/Taiwan 786 dominant; year-round bearing; ringspot virus key risk
Pearl millet,12,6,20,Quintals/Acre,Kharif,Bajra; Rajasthan/Gujarat/Haryana; dual use (grain + fodder); HHB-67 common hybrid
Pineapple,140,80,220,Quintals/Acre,Perennial,Kew variety dominant; NE India/Kerala/Goa; ratoon crop possible
Pomegranate,80,40,130,Quintals/Acre,Perennial,Bhagwa variety dominant; Maharashtra/Karnataka/AP; Bahar treatment for timing
Potato,120,65,200,Quintals/Acre,Rabi,UP/Punjab/WB dominant; Kufri Jyoti and Kufri Pukhraj standard; storage variety matters
Pumpkin,90,45,150,Quintals/Acre,Kharif,Multiple harvests; good shelf life; local and processing market
Radish,80,40,130,Quintals/Acre,Rabi,Quick crop (25-35 days); Pusa Chetki for summer; Japanese White for Rabi
Red gram,8,4,14,Quintals/Acre,Kharif,Tur/Arhar; Maharashtra/Karnataka/AP; ICPH-2671 hybrid popular; perennial types excluded
Rice,22,12,32,Quintals/Acre,Kharif,HYV can reach 30+
Rubber,800,500,1200,Kg/Acre,Perennial,Dry sheet rubber weight; Kerala dominant; yield rises from year 7 to peak at year 15
Safflower,8,4,13,Quintals/Acre,Rabi,Oilseed; Maharashtra/Karnataka/AP; rainfed; alternate-row sowing common
Sapota,70,35,120,Kg/Tree/Year,Perennial,Chikoo/Sapodilla; Gujarat/Maharashtra; 2-3 crops/year; Kalipatti variety standard
Sesame,4,2,7,Quintals/Acre,Kharif,Til; Gujarat/Rajasthan/MP; extremely drought-sensitive at flowering
Snake gourd,60,30,100,Quintals/Acre,Kharif,South India dominant; multiple picks; long-duration variety goes up to 6 ft
Sorghum,14,7,22,Quintals/Acre,Kharif,Jowar; grain yield; dual-purpose (grain + fodder); Rabi jowar in south India
Soybean,10,5,17,Quintals/Acre,Kharif,MP/Maharashtra/Rajasthan dominant; JS 9-52 and NRC-7 common; yellow mosaic virus key risk
Spinach,60,30,100,Quintals/Acre,Rabi,Multiple cuttings (3-4) per crop; Pusa Jyoti standard; year-round in hills
Sponge gourd,50,25,80,Quintals/Acre,Kharif,Turai; multiple picks; warm-season crop; south and central India
Squash melon,70,35,120,Quintals/Acre,Zaid,Similar to muskmelon; sandy riverbed cultivation; short season
Sugarcane,300,180,450,Tons/Acre,Perennial,Ratoon crop ~20% lower
Summer squash,60,30,100,Quintals/Acre,Zaid,Zucchini type gaining market; polyhouse extends season; quick-cycle (50-60 days)
Sunflower,8,4,14,Quintals/Acre,Kharif,Oilseed; Karnataka/AP/Maharashtra; KBSH-44 hybrid common; Rabi crop in AP/TS
Sweet potato,80,40,130,Quintals/Acre,Kharif,Tuber yield; Odisha/WB/UP; Sree Bhadra variety; low-input dryland crop
Tea,800,500,1200,Kg/Acre,Perennial,Made tea (processed) weight; Assam/Darjeeling/Nilgiris; plucking standard 2-leaves-and-bud
Tobacco,12,6,20,Quintals/Acre,Rabi,Cured leaf weight; AP/Karnataka; FCV type dominant; heavily regulated crop
Tomato,80,35,140,Quintals/Acre,Kharif,Hybrid varieties can exceed 150
Turmeric,80,40,130,Kg/Acre,Kharif,Fresh rhizome (raw) weight; dry recovery ~20%; Erode/Nizamabad dominant; Duggirala variety
Turnip,80,40,130,Quintals/Acre,Rabi,Quick-cycle root vegetable; north India; Purple Top White Globe standard
Watermelon,120,60,200,Quintals/Acre,Zaid,Seedless hybrids now >50% market; riverbed alluvial soil preferred; Sugar Baby standard
Wheat,18,10,28,Quintals/Acre,Rabi,Irrigated average ~22
